,src_ip,src_port,dst_ip,dst_port,protocol,bidirectional_packets,bidirectional_bytes,application_name
22450,0.0.144.101,0,114.127.231.230,0,107,1,1211,Unknown
22451,0.0.144.101,0,115.171.231.232,0,107,1,1240,Unknown
22452,0.0.144.229,0,124.11.231.247,0,107,1,1214,Unknown
22453,0.0.144.101,0,119.61.231.239,0,107,1,1235,Unknown
22454,0.0.144.120,0,158.182.84.2,0,107,1,146,Unknown
22455,0.0.144.101,0,120.68.231.241,0,107,1,1231,Unknown
22456,0.0.144.101,0,121.49.231.242,0,107,1,1194,Unknown
22457,0.0.144.101,0,114.134.231.230,0,107,1,1195,Unknown
22458,0.0.144.101,0,115.178.231.232,0,107,1,1240,Unknown
22459,0.0.144.101,0,121.56.231.242,0,107,1,1194,Unknown
22460,0.0.144.101,0,124.15.231.247,0,107,1,1201,Unknown
22461,0.0.144.101,0,119.68.231.239,0,107,1,1236,Unknown
22462,0.0.144.229,0,120.71.231.241,0,107,1,1231,Unknown
22463,0.0.144.101,0,114.141.231.230,0,107,1,1196,Unknown
22464,0.0.144.101,0,124.133.231.248,0,107,1,1213,Unknown
22465,0.0.144.101,0,115.190.231.233,0,107,1,1218,Unknown
22466,0.0.144.101,0,121.63.231.242,0,107,1,1194,Unknown
22467,0.0.144.101,0,124.22.231.247,0,107,1,1202,Unknown
22468,0.0.144.101,0,120.75.231.241,0,107,1,1215,Unknown
22469,0.0.144.101,0,119.82.231.239,0,107,1,1237,Unknown
22470,0.0.144.101,0,120.82.231.241,0,107,1,1215,Unknown
22471,0.0.144.101,0,124.140.231.248,0,107,1,1215,Unknown
22472,0.0.144.120,0,156.131.83.250,0,107,1,136,Unknown
22473,0.0.144.120,0,157.225.83.255,0,107,1,138,Unknown
22474,0.0.144.120,0,158.153.84.2,0,107,1,196,Unknown
22475,0.0.144.120,0,156.55.83.249,0,107,1,109,Unknown
22476,0.0.144.120,0,157.172.83.254,0,107,1,125,Unknown
22477,0.0.144.120,0,157.112.83.253,0,107,1,120,Unknown
22478,0.0.144.101,0,124.147.231.248,0,107,1,1215,Unknown
22479,0.0.144.101,0,115.197.231.233,0,107,1,1219,Unknown
22480,0.0.144.101,0,121.70.231.242,0,107,1,1203,Unknown
22481,0.0.144.101,0,124.36.231.247,0,107,1,1196,Unknown
22482,0.0.144.101,0,114.153.231.231,0,107,1,1204,Unknown
22483,0.0.144.101,0,120.89.231.241,0,107,1,1215,Unknown
22484,0.0.144.101,0,119.89.231.239,0,107,1,1238,Unknown
22485,0.0.144.120,0,158.189.84.2,0,107,1,132,Unknown
22486,0.0.144.101,0,115.204.231.233,0,107,1,1219,Unknown
22487,0.0.144.101,0,121.77.231.242,0,107,1,1203,Unknown
22488,0.0.144.101,0,124.154.231.248,0,107,1,1216,Unknown
22489,0.0.144.101,0,114.160.231.231,0,107,1,1205,Unknown
22490,0.0.144.229,0,120.92.231.241,0,107,1,1216,Unknown
22491,0.0.144.101,0,119.103.231.239,0,107,1,1235,Unknown
22492,0.0.144.101,0,114.167.231.231,0,107,1,1181,Unknown
22493,0.0.144.101,0,115.211.231.233,0,107,1,1229,Unknown
22494,0.0.144.101,0,121.84.231.242,0,107,1,1204,Unknown
22495,0.0.144.101,0,114.174.231.231,0,107,1,1182,Unknown
22496,0.0.144.101,0,124.43.231.247,0,107,1,1196,Unknown
22497,0.0.144.101,0,120.96.231.241,0,107,1,1193,Unknown
22498,0.0.144.101,0,119.110.231.239,0,107,1,1235,Unknown
